chromosome	start	end	RE	TSS_RE	Activity_H3K27ac	H3K4me1_rank	H3K4me3_rank	H3K27ac_rank	CTCF_rank	H3K4me1_auc	H3K4me3_auc	H3K27ac_auc	CTCF_auc
chr1	16623045	16624643	Enhancer/CTCF	CTCF	Inactive	1.0	4.0	2.0	3.0	1037657.056388855	0.0	995929.8376998901	115111.06386566162
chr1	42936191	42937672	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	283866.3576965332	0.0	574505.8198242188	0.0
chr1	201310420	201312287	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	191325.99619674683	0.0	841633.3293304443	0.0
chr1	209656947	209658874	Enhancer	Promoter	Inactive	1.0	3.0	2.0	4.0	394840.2664642334	0.0	247245.10133743286	0.0
chr1	16948006	16949466	Enhancer/CTCF	CTCF	Active	2.0	4.0	1.0	3.0	503487.33140563965	0.0	760670.0783004761	113529.78186035156
chr1	183278739	183280292	Enhancer	Promoter	Active	2.0	3.0	1.0	4.0	139074.15555699667	0.0	900727.8240509033	0.0
chr1	207021223	207022433	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	429430.8718261719	0.0	543561.3746490479	0.0
chr1	183149152	183150351	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	383316.83530044556	0.0	588416.757724762	0.0
chr1	26275474	26276725	Enhancer/CTCF	Promoter	Active	3.0	4.0	1.0	2.0	159666.67065048218	0.0	1017993.0432510376	679962.4849395752
chr1	19074371	19075780	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	181172.419506073	0.0	423647.50678634644	0.0
chr1	31700448	31701812	Enhancer	Promoter	Active	2.0	3.0	1.0	4.0	205125.9836883545	0.0	884641.969493866	0.0
chr1	156095911	156097194	Enhancer/CTCF	Promoter	Inactive	3.0	4.0	2.0	1.0	329245.09161376953	0.0	444179.88142967224	1142920.5948638916
chr1	209415734	209417082	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	164370.71743011475	0.0	746382.4980392456	0.0
chr1	181135978	181136813	Enhancer	Promoter	Active	2.0	3.0	1.0	4.0	340144.01943969727	0.0	475306.5068664551	0.0
chr1	26857978	26859722	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	179258.58075332642	0.0	2481089.7626686096	0.0
chr1	44806849	44808227	Enhancer	Promoter	Active	2.0	3.0	1.0	4.0	389662.7749633789	0.0	1884994.605834961	0.0
chr1	154430887	154432329	Enhancer	Promoter	Active	2.0	3.0	1.0	4.0	223156.59815216064	0.0	1199723.0197143555	0.0
chr1	152904968	152906754	Enhancer	Promoter	Active	2.0	3.0	1.0	4.0	177606.65368652344	0.0	477396.0356092453	0.0
chr1	16620456	16621792	Enhancer/CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	342138.513633728	0.0	0.0	1647114.4307727814
chr1	207019885	207021159	Enhancer	Promoter	Active	2.0	3.0	1.0	4.0	166083.11271476746	0.0	1814333.991821289	0.0
chr1	109239410	109241207	Enhancer/CTCF	Promoter	Active	3.0	4.0	1.0	2.0	176105.78050613403	0.0	962835.0355014801	603350.0147819519
chr1	16623954	16625801	Enhancer/CTCF	CTCF	Inactive	2.0	4.0	3.0	1.0	300073.776763916	0.0	287696.31466293335	1729524.8422107697
