chr	start	end	id	RE_rule	Active_rule	Active_inter
chr12	111444976	111446832	chr12:111444976_111446832	Enhancer	Active	Active
chr4	3304683	3306518	chr4:3304683_3306518	Enhancer	Active	Active
chr14	22546024	22547782	chr14:22546024_22547782	Enhancer	Active	Active
chr10	102611404	102613369	chr10:102611404_102613369	Enhancer	Active	Inactive
chr7	107939378	107941263	chr7:107939378_107941263	Enhancer	Active	Active
chr20	45358129	45360094	chr20:45358129_45360094	Enhancer	Active	Inactive
chr11	86576858	86578837	chr11:86576858_86578837	Enhancer	Active	Active
chr2	42913007	42914982	chr2:42913007_42914982	Enhancer	Active	Active
chr20	6699728	6701581	chr20:6699728_6701581	Enhancer	Inactive	Inactive
chr14	61523954	61525863	chr14:61523954_61525863	Enhancer	Active	Active
chr4	53557859	53559643	chr4:53557859_53559643	Enhancer	Active	Inactive
chr9	77846299	77848221	chr9:77846299_77848221	Enhancer	Active	Active
chr12	105466562	105468417	chr12:105466562_105468417	Enhancer	Active	Active
chr2	46351263	46353152	chr2:46351263_46353152	Enhancer	Active	Inactive
chr6	13354145	13355916	chr6:13354145_13355916	Enhancer	Active	Inactive
chr6	142845428	142847428	chr6:142845428_142847428	Enhancer	Active	Inactive
chr11	73321400	73323066	chr11:73321400_73323066	Enhancer	Active	Inactive
chr12	29241883	29243872	chr12:29241883_29243872	Enhancer	Active	Active
chr20	1373164	1374893	chr20:1373164_1374893	Enhancer	Inactive	Active
chr14	69045125	69047067	chr14:69045125_69047067	Enhancer	Inactive	Inactive
chr16	81542943	81544712	chr16:81542943_81544712	Enhancer	Inactive	Inactive
chr7	116356598	116358547	chr7:116356598_116358547	Enhancer	Active	Inactive
chr20	1376707	1378468	chr20:1376707_1378468	Enhancer	Active	Inactive
chr5	142014934	142016606	chr5:142014934_142016606	Enhancer	Active	Active
chr12	11884550	11886518	chr12:11884550_11886518	Enhancer	Active	Inactive
chr7	44633477	44635363	chr7:44633477_44635363	Enhancer	Active	Inactive
chr10	102799580	102801369	chr10:102799580_102801369	Enhancer	Active	Inactive
