chromosome	start	finish	huvec	CD14pos	kera
chr1	817082	817826		Enhancer	
chr1	826746	828028	Promoter	Promoter	
chr1	858107	858213	CTCF		
chr1	869164	870570	CTCF		CTCF
chr1	904313	905615			CTCF
chr1	906653	907187		Enhancer	
chr1	912422	913413			CTCF
chr1	937761	938938			CTCF
chr1	958927	959616	Promoter	Enhancer	
chr1	960342	960764		Enhancer/Promoter	
chr1	965979	966438		Enhancer/Promoter	
chr1	966746	967258	Promoter	Enhancer/Promoter	
chr1	975772	976683			CTCF
chr1	983584	984756			CTCF
chr1	999714	1001195	Promoter	Enhancer/Promoter	
chr1	1001240	1002627			CTCF
chr1	1013029	1013749	Promoter	Enhancer	
chr1	1015174	1015871	CTCF		
chr1	1016049	1016470		Enhancer	
chr1	1018939	1020204			
chr1	1024512	1025117			Enhancer
chr1	1032234	1033510			CTCF
chr1	1038660	1039195		Enhancer	
chr1	1039473	1039943		Enhancer	
chr1	1040491	1041154	Promoter	Enhancer	CTCF
chr1	1059422	1059907	Promoter	Promoter	
chr1	1063508	1064723			
chr1	1068934	1069631		Promoter	
chr1	1115876	1116852		Promoter	
chr1	1121678	1122772	CTCF		CTCF
chr1	1157308	1158719	Enhancer	Enhancer	
chr1	1162613	1163800			Promoter
chr1	1164676	1165228			Promoter
chr1	1231117	1232773	Promoter	Enhancer	Promoter
chr1	1249943	1250709		Promoter	CTCF
chr1	1264727	1265637			
chr1	1273589	1274221	Promoter	Promoter	
chr1	1290027	1290916			CTCF
chr1	1291244	1292489	CTCF		CTCF
chr1	1305442	1305991		Enhancer	
chr1	1307613	1308985		Promoter	
chr1	1324362	1325197	Promoter	Enhancer	
chr1	1348887	1350196			Promoter/CTCF
chr1	1371325	1372860	CTCF		CTCF
chr1	1374772	1375831	Promoter	Enhancer	
chr1	1399068	1400036	Enhancer/CTCF	Promoter	
chr1	1401769	1402695	CTCF	CTCF	
chr1	1406931	1407654	Promoter	Promoter	
chr1	1440620	1441996			CTCF
chr1	1443481	1443922	Enhancer/CTCF		
chr1	1471252	1471979	Promoter	Promoter	Promoter
chr1	1504581	1506004			CTCF
chr1	1508806	1509210		Enhancer	
chr1	1511172	1512396	Promoter	Enhancer	Promoter
chr1	1540483	1540902	Promoter		
chr1	1573742	1575498	Promoter	Enhancer/CTCF	
chr1	1607023	1607519		Enhancer	
chr1	1614106	1616086	Promoter	Enhancer	Promoter
chr1	1644677	1645541		CTCF	CTCF
chr1	1658392	1659854			
chr1	1681795	1682233	Enhancer/CTCF		
chr1	1691765	1693912	Promoter	Enhancer	
chr1	1711775	1712593	CTCF	CTCF	
chr1	1723714	1725160			
chr1	1745028	1747241	Promoter	Enhancer/CTCF	Promoter/CTCF
chr1	1763757	1764818			
chr1	1765025	1765414		Enhancer	
chr1	1778183	1779449		Promoter	
chr1	1779738	1780869		Enhancer	
chr1	1782208	1783220		Enhancer	
chr1	1835450	1836050			Enhancer
chr1	1858547	1859572	Enhancer	Enhancer	
chr1	1869412	1869896		Enhancer	
chr1	1889846	1890665		Promoter	
chr1	1890808	1891989	Promoter	Enhancer	
chr1	1905962	1907223			
chr1	1908420	1909624	Promoter	Enhancer/Promoter	CTCF
chr1	1918766	1920023	Promoter	Enhancer/Promoter	
chr1	1943415	1944768			CTCF
chr1	1959599	1960710			CTCF
chr1	1996137	1996627		Enhancer	
chr1	2044419	2045960	CTCF		CTCF
chr1	2046039	2047184		CTCF	CTCF
chr1	2049097	2049908			CTCF
chr1	2091247	2092135			
chr1	2112431	2112859		Enhancer	
chr1	2127080	2127539		Enhancer	
chr1	2132216	2134000	Promoter	Enhancer	
chr1	2135324	2135907			Enhancer
chr1	2139501	2140769	CTCF		CTCF
chr1	2142535	2143197		Enhancer	
chr1	2148565	2149560		Enhancer	
chr1	2150560	2151781		Enhancer	
chr1	2151896	2152302		Enhancer	
chr1	2173883	2175128	CTCF		CTCF
chr1	2189231	2190235	Promoter	Enhancer	
chr1	2194545	2195798			CTCF
chr1	2199062	2199825	Promoter	Enhancer/Promoter	
chr1	2204267	2205804		Enhancer/Promoter	
chr1	2208196	2208715	Enhancer		
chr1	2212188	2213276	Enhancer	Enhancer	
chr1	2227331	2228250	Promoter	Promoter	
chr1	2228977	2229585		Promoter	
chr1	2231588	2232473	Promoter	Enhancer/Promoter	
chr1	2234141	2235176		Promoter	
chr1	2237707	2238043		Enhancer/CTCF	
chr1	2245979	2247149		Promoter	
chr1	2279016	2279863	Enhancer		
chr1	2290363	2291240		Enhancer/Promoter	
chr1	2298949	2299551		Enhancer	
chr1	2300128	2301554		Promoter	
chr1	2315073	2315929		CTCF	CTCF
chr1	2381379	2383429	CTCF		CTCF
chr1	2391308	2392083	Promoter	Enhancer/Promoter	Promoter
chr1	2412107	2413169	Promoter	Enhancer	
chr1	2413678	2415262	CTCF		CTCF
chr1	2428377	2428902			Promoter
chr1	2429438	2430629			Promoter/CTCF
chr1	2525875	2527276	Promoter	Enhancer/Promoter	
chr1	2534714	2535512			Enhancer
chr1	2545882	2549210			CTCF
chr1	2550201	2550610		Enhancer	
chr1	2554849	2555280		Enhancer	
chr1	2555364	2556828	Promoter	Enhancer	
chr1	2561679	2562597			CTCF
chr1	2575830	2576521		Enhancer	
chr1	2576640	2577096		Enhancer	
chr1	2577606	2578844		Enhancer/CTCF	
chr1	2583847	2584162		Enhancer	
chr1	2585336	2586132		Enhancer	
