chr	start	end	id	RE_rule	Active_rule
chr12	52230312	52232222	chr12:52230312_52232222	Enhancer	Active
chr10	103780503	103782394	chr10:103780503_103782394	CTCF	Inactive
chr12	120234523	120236451	chr12:120234523_120236451	Enhancer	Inactive
chr22	46828914	46830898	chr22:46828914_46830898	Enhancer	Active
chr10	46523601	46525096	chr10:46523601_46525096	Enhancer	Active
chr10	103756817	103758792	chr10:103756817_103758792	Enhancer	Active
chr3	50163839	50165760	chr3:50163839_50165760	Enhancer	Inactive
chr5	151092673	151094418	chr5:151092673_151094418	Enhancer	Active
chr2	74424368	74426226	chr2:74424368_74426226	Enhancer	Active
chr5	148909762	148911387	chr5:148909762_148911387	Enhancer	Active
chr11	62556043	62557669	chr11:62556043_62557669	Enhancer	Active
chr15	72202656	72204448	chr15:72202656_72204448	Enhancer	Active
chr3	30658282	30659972	chr3:30658282_30659972	Enhancer	Inactive
chr11	35162684	35164534	chr11:35162684_35164534	Enhancer	Active
chr22	36363919	36365563	chr22:36363919_36365563	Enhancer	Inactive
chr6	12576294	12577860	chr6:12576294_12577860	Enhancer	Inactive
chr4	40254838	40256803	chr4:40254838_40256803	Enhancer	Active
chr2	9286869	9288722	chr2:9286869_9288722	Enhancer	Active
chr8	22743570	22745354	chr8:22743570_22745354	Enhancer	Active
chr10	104054373	104056219	chr10:104054373_104056219	Enhancer	Inactive
chr3	39146525	39147897	chr3:39146525_39147897	Enhancer	Active
chr5	137621837	137623172	chr5:137621837_137623172	Enhancer	Active
chr11	35082256	35084256	chr11:35082256_35084256	Enhancer	Active
chr1	183149152	183150351	chr1:183149152_183150351	Enhancer	Active
chr11	35165313	35167187	chr11:35165313_35167187	Enhancer	Active
chr10	119305716	119307500	chr10:119305716_119307500	Enhancer/CTCF	Inactive
chr17	50050631	50051954	chr17:50050631_50051954	Enhancer	Active
chr10	77504516	77506460	chr10:77504516_77506460	Enhancer	Active
chr10	103800399	103801646	chr10:103800399_103801646	Enhancer	Inactive
chr9	38046479	38048321	chr9:38046479_38048321	Enhancer	Active
chr6	41036131	41037784	chr6:41036131_41037784	Enhancer	Inactive
chr9	108835200	108836255	chr9:108835200_108836255	Enhancer	Active
chr16	81625237	81626813	chr16:81625237_81626813	Enhancer	Active
chr3	194871324	194873031	chr3:194871324_194873031	Enhancer	Active
chr20	35318289	35319539	chr20:35318289_35319539	Enhancer	Active
chr17	41518038	41520003	chr17:41518038_41520003	Enhancer	Active
chr15	74422493	74424016	chr15:74422493_74424016	Enhancer	Active
chr9	121281589	121282928	chr9:121281589_121282928	Enhancer	Active
chr9	128911440	128913347	chr9:128911440_128913347	Enhancer	Active
chr4	88178153	88179709	chr4:88178153_88179709	Enhancer	Inactive
chr9	127560990	127562628	chr9:127560990_127562628	Enhancer	Active
